Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,1.4,3.4,6.1,7.7,9.5,10.5,11.6,12.4,12.6,12.7,12.7,13,13.2,13.3,13.4,13.5,13.6,13.9,14.3,14.3,14.4,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.6,14.5,14.7,14.6,14.7,14.8,14.8,14.8,14.8,14.9,14.9,15,15,15.2,15.2,15.2,15.2,15.4,15.5,15.5,15.6,15.7,15.7,15.8,15.8,15.8,16,16,16.3,16.3,16.3,16.4,16.5,16.6,16.6,16.6,16.7,16.7,16.7,16.7,16.7,16.8,16.8,16.8,16.8,16.8,16.8,16.7,16.9,16.9,16.9,16.8,16.9,16.9,17
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.8,19.5,18.6,16.6,13.9,12.3,10.5,9.5,8.4,7.6,7.4,7.3,7.3,7,6.8,6.7,6.6,6.5,6.4,6.1,5.7,5.7,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.5,5.3,5.4,5.3,5.2,5.2,5.2,5.2,5.1,5.1,5,5,4.8,4.8,4.8,4.8,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4,4,3.7,3.7,3.7,3.6,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.1,3.1,3.1,3.2,3.1,3.1,3
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.025,0.07,0.17,0.305,0.385,0.475,0.525,0.58,0.62,0.63,0.635,0.635,0.65,0.66,0.665,0.67,0.675,0.68,0.695,0.715,0.715,0.72,0.725,0.725,0.72,0.725,0.725,0.725,0.725,0.725,0.73,0.725,0.735,0.73,0.735,0.74,0.74,0.74,0.74,0.745,0.745,0.75,0.75,0.76,0.76,0.76,0.76,0.77,0.775,0.775,0.78,0.785,0.785,0.79,0.79,0.79,0.8,0.8,0.815,0.815,0.815,0.82,0.825,0.83,0.83,0.83,0.835,0.835,0.835,0.835,0.835,0.84,0.84,0.84,0.84,0.84,0.84,0.835,0.845,0.845,0.845,0.84,0.845,0.845,0.85
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,1.4,3.4,6.1,7.7,9.5,10.5,11.6,12.4,12.6,12.7,12.7,13,13.2,13.3,13.4,13.5,13.7,13.9,14.3,14.3,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.6,14.5,14.7,14.7,14.7,14.8,14.8,14.8,14.8,14.9,14.9,15,15.1,15.2,15.2,15.2,15.2,15.4,15.5,15.5,15.6,15.7,15.7,15.8,15.8,15.9,16,16,16.3,16.3,16.4,16.5,16.5,16.6,16.6,16.7,16.7,16.7,16.7,16.7,16.7,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.9,16.9,16.9,16.9,16.9,16.9,17
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,1.8,5.6,8.5,10.2,10.8,11.5,12.2,12.7,12.7,13,13.1,13.2,13.4,13.4,13.6,13.6,13.9,14.3,14.4,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.7,14.8,14.9,14.9,14.9,14.9,14.9,14.9,14.9,15,15.2,15.3,15.3,15.4,15.5,15.5,15.5,15.6,15.7,15.7,15.8,15.9,16,16,16,16.2,16.2,16.2,16.5,16.7,16.7,16.8,16.9,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.9,16.9,16.9,16.9,16.9,16.9,17,17,17,17,17,17,17.1,17.1,17.1,17.1,17.1,17.2,17.2,17.2,17.3,17.3
Total Number Tracks,0,0,0,0,0,0,0,0,0,0,3,5,7,9,9,10,10,10,10,10,11,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17
