Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.6,1.1,3.4,5.5,7.7,9.5,10.7,12,12.2,12.5,12.6,12.7,12.8,12.8,13.2,13.3,13.6,13.8,14.1,14.1,14.1,14.1,14.1,14.1,14.3,14.3,14.3,14.3,14.3,14.2,14.6,14.8,14.9,14.9,15.1,15.4,15.4,15.5,15.5,15.4,15.6,15.6,15.7,15.9,16.1,16.2,16.2,16.2,16.4,16.5,16.5,16.5,16.5,16.6,16.7,16.7,16.6,16.6,16.6,16.7,16.7,16.7,16.5,16.7,16.8,16.8,16.9,16.9,17,17,17,17,17,17,17,17,17,17,17,17,17.1,17.1,17,17.1,17.2
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,19.9,19.9,19.8,19.4,18.9,16.6,14.5,12.3,10.5,9.3,8,7.8,7.5,7.4,7.3,7.2,7.2,6.8,6.7,6.4,6.2,5.9,5.9,5.9,5.9,5.9,5.9,5.7,5.7,5.7,5.7,5.7,5.8,5.4,5.2,5.1,5.1,4.9,4.6,4.6,4.5,4.5,4.6,4.4,4.4,4.3,4.1,3.9,3.8,3.8,3.8,3.6,3.5,3.5,3.5,3.5,3.4,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3,3,3,3,3,3,3,3,2.9,2.9,3,2.9,2.8
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.01,0.03,0.055,0.17,0.275,0.385,0.475,0.535,0.6,0.61,0.625,0.63,0.635,0.64,0.64,0.66,0.665,0.68,0.69,0.705,0.705,0.705,0.705,0.705,0.705,0.715,0.715,0.715,0.715,0.715,0.71,0.73,0.74,0.745,0.745,0.755,0.77,0.77,0.775,0.775,0.77,0.78,0.78,0.785,0.795,0.805,0.81,0.81,0.81,0.82,0.825,0.825,0.825,0.825,0.83,0.835,0.835,0.83,0.83,0.83,0.835,0.835,0.835,0.825,0.835,0.84,0.84,0.845,0.845,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.855,0.855,0.85,0.855,0.86
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.6,1.1,3.4,5.5,7.7,9.5,10.7,12,12.2,12.5,12.6,12.7,12.8,12.8,13.2,13.3,13.6,13.8,14.1,14.1,14.1,14.1,14.1,14.1,14.3,14.3,14.3,14.3,14.3,14.3,14.7,14.8,14.9,14.9,15.1,15.4,15.4,15.5,15.5,15.5,15.6,15.6,15.7,15.9,16.1,16.2,16.2,16.2,16.4,16.5,16.5,16.5,16.5,16.6,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.8,16.8,16.8,16.8,16.9,16.9,17,17,17,17,17,17,17,17,17,17,17,17.1,17.1,17.1,17.1,17.1,17.2
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,1.2,4.6,7.9,9.4,11.1,11.8,12.6,12.6,12.8,13,13.3,13.2,13.4,13.5,13.6,13.8,14,14.2,14.3,14.3,14.3,14.3,14.5,14.5,14.5,14.5,14.5,14.6,14.6,14.8,15,15.3,15.4,15.5,15.6,15.7,15.7,15.7,15.7,15.8,15.9,16.2,16.2,16.4,16.4,16.5,16.5,16.5,16.7,16.8,16.8,16.8,16.8,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,17.1,17.1,17.2,17.2,17.2,17.3,17.3,17.3,17.3,17.3,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.3,17.3,17.3,17.3,17.3,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4
Total Number Tracks,0,0,0,0,0,0,0,0,0,0,2,5,6,7,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13
