Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,1.4,2.9,5.1,7.3,9.1,9.9,10.5,10.6,10.8,11.1,11.4,11.7,11.7,11.9,12,12,12.2,12.5,12.5,12.4,12.5,12.6,12.7,12.7,12.7,12.8,12.9,13.1,13.2,13.3,13.3,13.3,13.4,13.5,13.4,13.4,13.5,13.9,14,14,14.2,14.1,14.1,14.2,14.2,14.5,14.6,14.8,14.9,14.9,14.9,14.8,15,15.1,15.1,15.4,15.5,15.4,15.5,15.5,15.8,15.8,15.8,15.9,15.9,15.9,15.9,15.8,15.9,15.9,15.9,15.9,16,16,16,16,16,15.9,16,16,16,16,15.9,16
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.9,19.4,18.6,17.1,14.9,12.7,10.9,10.1,9.5,9.4,9.2,8.9,8.6,8.3,8.3,8.1,8,8,7.8,7.5,7.5,7.6,7.5,7.4,7.3,7.3,7.3,7.2,7.1,6.9,6.8,6.7,6.7,6.7,6.6,6.5,6.6,6.6,6.5,6.1,6,6,5.8,5.9,5.9,5.8,5.8,5.5,5.4,5.2,5.1,5.1,5.1,5.2,4.8,4.9,4.7,4.4,4.3,4.4,4.3,4.3,4.2,4.2,4,4.1,4.1,4.1,4.1,4,4.1,4.1,4.1,4.1,4,4,4,4,4,4.1,4,4,4,4,4.1,4
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.03,0.07,0.145,0.255,0.365,0.455,0.495,0.525,0.53,0.54,0.555,0.57,0.585,0.585,0.595,0.6,0.6,0.61,0.625,0.625,0.62,0.625,0.63,0.635,0.635,0.635,0.64,0.645,0.655,0.66,0.665,0.665,0.665,0.67,0.675,0.67,0.67,0.675,0.695,0.7,0.7,0.71,0.705,0.705,0.71,0.71,0.725,0.73,0.74,0.745,0.745,0.745,0.74,0.75,0.755,0.755,0.77,0.775,0.77,0.775,0.775,0.79,0.79,0.79,0.795,0.795,0.795,0.795,0.79,0.795,0.795,0.795,0.795,0.8,0.8,0.8,0.8,0.8,0.795,0.8,0.8,0.8,0.8,0.795,0.8
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,1.4,2.9,5.1,7.3,9.1,9.9,10.5,10.6,10.8,11.1,11.4,11.7,11.7,11.9,12,12,12.2,12.5,12.5,12.5,12.5,12.6,12.7,12.7,12.7,12.8,12.9,13.1,13.2,13.3,13.3,13.3,13.4,13.5,13.5,13.5,13.5,13.9,14,14,14.2,14.2,14.2,14.3,14.3,14.5,14.6,14.8,14.9,14.9,14.9,14.9,15.1,15.2,15.2,15.5,15.6,15.6,15.6,15.6,15.8,15.8,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,16,16,16,16,16,16,16,16,16,16,16,16.1
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,1.8,5.1,7.5,9.5,10.6,10.8,10.7,11,11.2,11.4,11.5,11.6,11.9,12,12.1,12.3,12.4,12.5,12.6,12.6,12.6,12.7,12.7,12.8,12.8,12.8,13,13.2,13.2,13.2,13.2,13.5,13.7,13.7,13.7,13.8,13.9,14,14.2,14.4,14.6,14.6,14.5,14.5,14.6,14.8,14.9,15,15,15,15.1,15.1,15.2,15.4,15.5,15.5,15.7,15.9,16,16,16,16,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.4,16.4,16.4,16.5,16.5,16.5,16.5,16.5,16.6,16.8,16.9
Total Number Tracks,0,0,0,0,0,0,0,0,0,0,1,3,4,4,5,5,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
