Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.7,1.6,4.6,7.1,9.7,11.3,11.7,12.1,12.5,12.8,12.8,13.2,13.3,13.3,13.4,13.5,13.8,14,14,14.2,14.3,14.3,14.5,14.5,14.6,14.8,15,15,15.1,15.3,15.3,15.5,15.5,15.6,15.7,15.8,16,16,16,16.2,16.3,16.3,16.6,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.9,16.9,17,17,17,17,17.1,17.1,17.2,17.1,17.2,17.2,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.4,17.4,17.4,17.5,17.4,17.4,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.9,19.8,19.3,18.4,15.4,12.9,10.3,8.7,8.3,7.9,7.5,7.2,7.2,6.8,6.7,6.7,6.6,6.5,6.2,6,6,5.8,5.7,5.7,5.5,5.5,5.4,5.2,5,5,4.9,4.7,4.7,4.5,4.5,4.4,4.3,4.2,4,4,4,3.8,3.7,3.7,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,3.1,3,3,3,3,2.9,2.9,2.8,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.01,0.035,0.08,0.23,0.355,0.485,0.565,0.585,0.605,0.625,0.64,0.64,0.66,0.665,0.665,0.67,0.675,0.69,0.7,0.7,0.71,0.715,0.715,0.725,0.725,0.73,0.74,0.75,0.75,0.755,0.765,0.765,0.775,0.775,0.78,0.785,0.79,0.8,0.8,0.8,0.81,0.815,0.815,0.83,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.845,0.845,0.85,0.85,0.85,0.85,0.855,0.855,0.86,0.855,0.86,0.86,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.87,0.87,0.87,0.875,0.87,0.87,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.7,1.6,4.6,7.1,9.7,11.3,11.7,12.1,12.6,12.8,12.8,13.2,13.3,13.3,13.4,13.5,13.8,14,14,14.2,14.3,14.3,14.5,14.5,14.6,14.8,15,15,15.1,15.3,15.3,15.5,15.5,15.6,15.7,15.8,16,16,16,16.2,16.3,16.3,16.6,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.8,16.9,16.9,17,17,17,17,17.1,17.2,17.2,17.2,17.2,17.2,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.4,17.4,17.4,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,3.4,6.8,9.5,11.2,11.8,12.1,12.5,12.8,13.1,13.3,13.3,13.4,13.6,13.6,13.7,14,14.3,14.3,14.4,14.5,14.6,14.6,14.7,15,15.1,15.3,15.4,15.4,15.4,15.5,15.5,15.7,15.8,15.9,15.9,16,16.1,16.3,16.5,16.6,16.7,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.9,16.9,17,17,17.1,17.1,17.2,17.2,17.2,17.3,17.3,17.3,17.3,17.3,17.5,17.5,17.5,17.5,17.5,17.5,17.4,17.4,17.4,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.7,17.7,17.7,17.7,17.7,17.8,17.8
Total Number Tracks,0,0,0,0,0,0,0,0,0,1,6,10,13,13,13,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
