Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,1.4,3.8,6.9,9.3,10.9,12.1,12.7,13.7,13.9,13.9,13.9,13.8,13.9,13.9,14,14.1,14.3,14.4,14.4,14.4,14.4,14.5,14.6,14.6,14.9,14.8,14.9,14.9,15,15.1,15.1,15,15.3,15.3,15.3,15.3,15.6,15.5,15.5,15.5,15.6,15.7,15.6,15.6,15.7,15.8,15.8,15.9,16,16,16,16.1,16.1,16.1,16.2,16.3,16.3,16.3,16.3,16.2,16.4,16.4,16.4,16.4,16.4,16.5,16.5,16.5,16.5,16.7,16.7,16.7,16.8,16.8,16.8,16.7,16.8,16.8,16.7,17.1,17.1,17.1,17.1,17.3
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.9,19.8,18.6,16.2,13.1,10.7,9.1,7.9,7.3,6.3,6.1,6.1,6.1,6.2,6.1,6.1,6,5.9,5.7,5.6,5.6,5.6,5.6,5.5,5.4,5.4,5.1,5.2,5.1,5.1,5,4.9,4.9,5,4.7,4.7,4.7,4.7,4.4,4.5,4.5,4.5,4.4,4.3,4.4,4.4,4.3,4.2,4.2,4.1,4,4,4,3.9,3.9,3.9,3.8,3.7,3.7,3.7,3.7,3.8,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.3,3.3,3.3,3.2,3.2,3.2,3.3,3.2,3.2,3.3,2.9,2.9,2.9,2.9,2.7
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.01,0.07,0.19,0.345,0.465,0.545,0.605,0.635,0.685,0.695,0.695,0.695,0.69,0.695,0.695,0.7,0.705,0.715,0.72,0.72,0.72,0.72,0.725,0.73,0.73,0.745,0.74,0.745,0.745,0.75,0.755,0.755,0.75,0.765,0.765,0.765,0.765,0.78,0.775,0.775,0.775,0.78,0.785,0.78,0.78,0.785,0.79,0.79,0.795,0.8,0.8,0.8,0.805,0.805,0.805,0.81,0.815,0.815,0.815,0.815,0.81,0.82,0.82,0.82,0.82,0.82,0.825,0.825,0.825,0.825,0.835,0.835,0.835,0.84,0.84,0.84,0.835,0.84,0.84,0.835,0.855,0.855,0.855,0.855,0.865
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,1.4,3.8,6.9,9.3,10.9,12.1,12.7,13.7,13.9,13.9,13.9,13.9,14,14,14,14.1,14.3,14.4,14.4,14.4,14.5,14.6,14.6,14.6,14.9,14.9,14.9,14.9,15,15.1,15.1,15.1,15.3,15.3,15.3,15.3,15.6,15.6,15.6,15.6,15.6,15.7,15.7,15.7,15.7,15.8,15.8,15.9,16,16,16,16.1,16.1,16.1,16.3,16.3,16.3,16.3,16.3,16.3,16.4,16.4,16.4,16.4,16.4,16.5,16.5,16.5,16.5,16.7,16.7,16.7,16.8,16.8,16.8,16.8,16.8,16.8,16.8,17.1,17.1,17.1,17.2,17.3
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,3.3,7.5,10.6,12.3,12.8,13.5,13.8,13.9,13.9,14,14,14,14.1,14.2,14.4,14.4,14.4,14.5,14.5,14.5,14.6,14.7,14.7,14.8,15,15,15,15.1,15.1,15.2,15.2,15.3,15.4,15.4,15.4,15.4,15.7,15.7,15.7,15.7,15.8,15.8,15.8,15.8,15.8,15.8,15.9,16,16.1,16.2,16.1,16.2,16.3,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.5,16.5,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.8,16.8,16.8,16.9,16.9,16.9,16.9,17,17,17.2,17.2,17.2,17.4,17.5,17.5,17.5,17.6,17.6,17.7,17.9,17.9,17.9
Total Number Tracks,0,0,0,0,0,0,0,0,0,4,8,9,11,11,11,11,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17
