Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.7,3.4,6.1,8.6,10.7,11.4,11.9,11.9,12.1,12.1,12.2,12.2,12.5,12.6,12.7,12.9,12.9,13.1,13.1,13.2,13.3,13.4,13.6,13.7,13.8,14,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.4,14.6,14.8,14.8,14.9,14.9,14.9,14.8,14.8,14.8,14.9,14.9,14.9,15.1,15.1,15.1,15.2,15,15.1,15,15.1,15.1,15,15,15.1,15.2,15.3,15.2,15,15,15.1,15.1,15.1,15.2,15.2,15.2,15.4,15.4,15.4,15.4,15.4,15.3,15.4,15.4,15.5,15.5
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.9,18.3,16.6,13.9,11.4,9.3,8.6,8.1,8.1,7.9,7.9,7.8,7.8,7.5,7.4,7.3,7.1,7.1,6.9,6.9,6.8,6.7,6.6,6.4,6.3,6.2,6,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.8,5.8,5.6,5.4,5.2,5.2,5.1,5.1,5.1,5.2,5.2,5.2,5.1,5.1,5.1,4.9,4.9,4.9,4.8,5,4.9,5,4.9,4.9,5,5,4.9,4.8,4.7,4.8,5,5,4.9,4.9,4.9,4.8,4.8,4.8,4.6,4.6,4.6,4.6,4.6,4.7,4.6,4.6,4.5,4.5
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.085,0.17,0.305,0.43,0.535,0.57,0.595,0.595,0.605,0.605,0.61,0.61,0.625,0.63,0.635,0.645,0.645,0.655,0.655,0.66,0.665,0.67,0.68,0.685,0.69,0.7,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.71,0.71,0.71,0.72,0.73,0.74,0.74,0.745,0.745,0.745,0.74,0.74,0.74,0.745,0.745,0.745,0.755,0.755,0.755,0.76,0.75,0.755,0.75,0.755,0.755,0.75,0.75,0.755,0.76,0.765,0.76,0.75,0.75,0.755,0.755,0.755,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.765,0.77,0.77,0.775,0.775
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.8,3.4,6.1,8.6,10.7,11.4,11.9,11.9,12.1,12.1,12.2,12.2,12.5,12.6,12.7,12.9,12.9,13.1,13.1,13.2,13.3,13.4,13.7,13.7,13.8,14,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.4,14.7,14.8,14.8,14.9,14.9,14.9,14.8,14.8,14.8,14.9,14.9,14.9,15.1,15.1,15.1,15.2,15,15.1,15,15.1,15.1,15,15,15.2,15.3,15.3,15.2,15,15,15.1,15.1,15.1,15.2,15.2,15.2,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.5,15.5
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,2.3,6.3,9.7,11.4,11.9,12.1,12.2,12.4,12.4,12.4,12.4,12.4,12.9,13.1,13.2,13.5,13.6,13.7,13.8,13.8,13.8,14,14.2,14.6,14.6,14.7,14.7,14.7,14.7,14.7,14.8,14.9,14.9,15,15.1,15.1,15.1,15.3,15.6,15.8,15.9,15.9,16,16,16.4,16.4,16.5,16.5,16.5,16.5,16.6,16.7,16.8,16.9,16.9,17,17.1,17.1,17.2,17.3,17.3,17.3,17.3,17.5,17.5,17.5,17.5,17.5,17.6,17.6,17.6,17.8,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18,18,18,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1
Total Number Tracks,0,0,0,0,0,0,0,0,0,2,5,8,11,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
